station,lat,lon,zone
Whyteleafe South,51.3034898,-0.076712515,6
Willesden Green,51.54937329,-0.222407604,"2,3"
Willesden Junction,51.53223396,-0.243909143,3
Wimbledon,51.42110784,-0.206662836,3
Wimbledon Chase,51.40953093,-0.21408977,3
Wimbledon Park,51.43458095,-0.199186275,3
Winchmore Hill,51.63388686,-0.100916933,4
Wood Green,51.59745373,-0.109526589,3
Wood Lane,51.50965819,-0.224472609,2
Wood Street,51.58666994,-0.001953898,4
Woodford,51.60720184,0.034056202,4
Woodgrange Park,51.54905254,0.044572496,"3,4"
Woodmansterne,51.31901858,-0.154262129,6
Woodside,51.38709768,-0.065347178,"3,4,5,6"
Woodside Park,51.6178684,-0.185425505,4
Woolwich Arsenal,51.48990712,0.069193906,4
Woolwich Dockyard,51.49110779,0.054612348,3
Worcester Park,51.38110449,-0.245575292,4
