station,lat,lon,zone
East Croydon,51.3757161,-0.091863496,5
East Dulwich,51.46162558,-0.080436572,2
East Finchley,51.58733254,-0.164743886,3
East Ham,51.53924616,0.051516293,"3,4"
East India,51.50868401,-0.002370332,"2,3"
East Putney,51.45887978,-0.210998234,"2,3"
Eastcote,51.57655182,-0.396823299,5
Eden Park,51.3907961,-0.026669716,5
Edgware,51.61422962,-0.275093666,5
Edgware Road (Bakerloo),51.52064536,-0.170539552,1
Edgware Road,51.51999804,-0.167668254,1
Edmonton Green,51.6251157,-0.061639019,4
Elephant & Castle,51.49584938,-0.100738715,"1,2"
Elm Park,51.54912458,0.197252682,6
Elmers End,51.39829111,-0.049463832,4
Elmstead Woods,51.41708063,0.044229343,4
Elstree and Borehamwood,51.65287558,-0.279828619,6
Eltham,51.45566222,0.052329308,4
Elverson Road,51.46837219,-0.016816376,"2,3"
Embankment,51.50731249,-0.122367337,1
Emerson Park,51.56911491,0.220222934,6
Enfield Chase,51.65272211,-0.090704205,5
Enfield Lock,51.67084612,-0.02839107,6
Enfield Town,51.65197007,-0.079329922,5
Epping,51.69368617,0.113825553,6
Epsom Downs,51.32365944,-0.238970227,6
Erith,51.48164768,0.174261289,6
Essex Road,51.54063331,-0.096365526,2
Euston,51.52866433,-0.133296472,1
Euston Square,51.52866433,-0.133296472,1
Ewell East,51.34524388,-0.241503001,6
Ewell West,51.34999114,-0.257089133,6
Fairlop,51.59610954,0.090593279,4
Falconwood,51.4590858,0.078509693,4
Farringdon,51.52019569,-0.104843062,1
Feltham,51.44787917,-0.409824481,6
Fenchurch Street,51.51156671,-0.078554153,1
Fieldway,51.35131701,-0.024503265,"3,4,5,6"
Finchley Central,51.60090325,-0.193220637,4
Finchley Road,51.5470962,-0.180050561,2
Finchley Road and Frognal,51.5501195,-0.183651203,2
Finsbury Park,51.56463545,-0.105881486,2
Forest Gate,51.54931612,0.024189092,3
Forest Hill,51.43930831,-0.053328504,3
Fulham Broadway,51.4802609,-0.195544164,2
Fulwell,51.43394257,-0.349438525,6
Gallions Reach,51.50903414,0.071775394,3
Gants Hill,51.57655295,0.066084098,4
George Street,51.37396606,-0.098718105,"3,4,5,6"
Gidea Park,51.58186575,0.205976981,6
Gipsy Hill,51.42446952,-0.083835168,3
Gloucester Road,51.49449956,-0.18354356,1
Golders Green,51.57221553,-0.194834559,3
Goldhawk Road,51.50207697,-0.227404006,2
Goodge Street,51.52061311,-0.13480769,1
Goodmayes,51.56618098,0.111729654,4
Gordon Hill,51.66350224,-0.0944733,5
Gospel Oak,51.55540529,-0.151301033,2
Grange Hill,51.61348043,0.09227253,4
Grange Park,51.64262308,-0.097314424,5
Gravel Hill,51.35454326,-0.043121699,"3,4,5,6"
Great Portland Street,51.5237888,-0.143961425,1
Green Park,51.50676048,-0.142477576,1
Greenford,51.54198007,-0.34587874,4
Greenwich,51.47754766,-0.014863084,"2,3"
Grove Park,51.43043264,0.022598502,4
Gunnersbury,51.49186341,-0.275164136,3
Hackbridge,51.3778609,-0.153879198,4
Hackney Central,51.54725744,-0.055589512,2
Hackney Downs,51.54907809,-0.060185105,2
Hackney Wick,51.54355841,-0.025259503,2
Hadley Wood,51.66840287,-0.17658119,6
Haggerston,51.53868473,-0.075595258,2
Hainault,51.60284533,0.09410855,4
Hammersmith,51.49181978,-0.222860929,2
Hammersmith (Met.),51.49348335,-0.224640157,2
Hampstead,51.5565426,-0.17801456,2
Hampstead Heath,51.55519992,-0.164566183,3
Hampton,51.41587955,-0.372135254,6
Hampton Court,51.40229388,-0.342757152,6
Hampton Wick,51.41464004,-0.31310361,6
Hanger Lane,51.53007203,-0.292996146,3
Hanwell,51.51218596,-0.338051884,4
Harlesden,51.53625833,-0.257495674,3
Harold Wood,51.59320222,0.234204073,6
Harringay,51.57735791,-0.105208253,3
Harringay Green Lanes,51.57714589,-0.098217392,3
Harrington Road,51.39979057,-0.060699955,"3,4,5,6"
Harrow and Wealdstone,51.59259463,-0.334252685,5
Harrow-on-the-Hill,51.57938812,-0.337001517,5
Hatch End,51.6098285,-0.369178781,6
Hatton Cross,51.4666853,-0.423380563,"5,6"
Haydons Road,51.42545732,-0.188929359,3
Hayes,51.37573671,0.010142652,5
Hayes and Harlington,51.50304907,-0.420641904,5
Headstone Lane,51.60249963,-0.356907514,5
Heathrow Terminal 4,51.45978043,-0.44772959,6
Heathrow Terminal 5,51.47002543,-0.490647503,6
Heathrow Terminals 1 2 3,51.4712894,-0.452407226,6
Hendon,51.58007498,-0.238630521,"3,4"
Hendon Central,51.58313305,-0.22673414,"3,4"
Herne Hill,51.45399137,-0.102562908,"2,3"
Heron Quays,51.50338657,-0.021953532,2
High Barnet,51.65168825,-0.19416538,5
High Street Kensington,51.50072945,-0.191566058,1
Highams Park,51.60835599,-0.000135286,4
Highbury and Islington,51.54649551,-0.10408214,2
Highgate,51.57764662,-0.146934862,3
Hillingdon,51.55377752,-0.449897993,6
Hither Green,51.45240172,-0.000970912,3
Holborn,51.51723574,-0.119840507,1
Holland Park,51.50714648,-0.206557778,2
Holloway Road,51.5528161,-0.112935697,2
Homerton,51.54659545,-0.038512347,2
